19-Sep-2021 13:14:49 Curr1 (A):  -0.1562895
19-Sep-2021 13:14:49 Curr2 (A):  -0.002215316
19-Sep-2021 13:14:49 Time (Sec):  173
19-Sep-2021 13:14:51 Power Supply OFF
19-Sep-2021 13:14:57 Power Supply  ON
19-Sep-2021 13:15:01 Get IV Data
19-Sep-2021 13:15:01 Volt1 (V):  1.142541
19-Sep-2021 13:15:01 Volt2 (V):  -0.01122422
19-Sep-2021 13:15:01 Curr1 (A):  -0.1563481
19-Sep-2021 13:15:01 Curr2 (A):  -0.00224513
19-Sep-2021 13:15:01 Time (Sec):  4
19-Sep-2021 13:15:06 Get IV Data
19-Sep-2021 13:15:06 Volt1 (V):  1.141897
19-Sep-2021 13:15:06 Volt2 (V):  -0.01137246
19-Sep-2021 13:15:06 Curr1 (A):  -0.1563479
19-Sep-2021 13:15:06 Curr2 (A):  -0.002218607
19-Sep-2021 13:15:06 Time (Sec):  9
19-Sep-2021 13:15:10 Get IV Data
19-Sep-2021 13:15:10 Volt1 (V):  1.122372
19-Sep-2021 13:15:10 Volt2 (V):  -0.01139941
19-Sep-2021 13:15:10 Curr1 (A):  -0.1563417
19-Sep-2021 13:15:10 Curr2 (A):  -0.002224091
19-Sep-2021 13:15:10 Time (Sec):  13
19-Sep-2021 13:15:20 OUTP ON
19-Sep-2021 13:15:20 Get IV Data
19-Sep-2021 13:15:20 Volt1 (V):  1.122186
19-Sep-2021 13:15:20 Volt2 (V):  -0.01133288
19-Sep-2021 13:15:20 Curr1 (A):  -0.1563514
19-Sep-2021 13:15:20 Curr2 (A):  -0.002218906
19-Sep-2021 13:15:20 Time (Sec):  18
19-Sep-2021 13:15:22 Get IV Data
19-Sep-2021 13:15:22 Volt1 (V):  6.998413
19-Sep-2021 13:15:22 Volt2 (V):  6.98615
19-Sep-2021 13:15:22 Curr1 (A):  0.4202819
19-Sep-2021 13:15:22 Curr2 (A):  -0.002198366
19-Sep-2021 13:15:22 Time (Sec):  25
19-Sep-2021 13:15:26 Get IV Data
19-Sep-2021 13:15:26 Volt1 (V):  6.998609
19-Sep-2021 13:15:26 Volt2 (V):  6.986204
19-Sep-2021 13:15:26 Curr1 (A):  0.4178992
19-Sep-2021 13:15:26 Curr2 (A):  -0.002222894
19-Sep-2021 13:15:26 Time (Sec):  29
19-Sep-2021 13:15:31 Get IV Data
19-Sep-2021 13:15:31 Volt1 (V):  6.998641
19-Sep-2021 13:15:31 Volt2 (V):  6.986198
19-Sep-2021 13:15:31 Curr1 (A):  0.4089768
19-Sep-2021 13:15:31 Curr2 (A):  -0.002219504
19-Sep-2021 13:15:31 Time (Sec):  34
19-Sep-2021 13:15:36 Get IV Data
19-Sep-2021 13:15:36 Volt1 (V):  6.998783
19-Sep-2021 13:15:36 Volt2 (V):  6.986256
19-Sep-2021 13:15:36 Curr1 (A):  0.4071569
19-Sep-2021 13:15:36 Curr2 (A):  -0.002214319
19-Sep-2021 13:15:36 Time (Sec):  38
19-Sep-2021 13:15:43 OUTP OFF
19-Sep-2021 13:15:43 Get IV Data
19-Sep-2021 13:15:43 Volt1 (V):  6.998669
19-Sep-2021 13:15:43 Volt2 (V):  6.986252
19-Sep-2021 13:15:43 Curr1 (A):  0.4040932
19-Sep-2021 13:15:43 Curr2 (A):  -0.002223991
19-Sep-2021 13:15:43 Time (Sec):  43
19-Sep-2021 13:15:48 Power Supply OFF
19-Sep-2021 13:15:48 Get IV Data
19-Sep-2021 13:15:48 Volt1 (V):  1.13945
19-Sep-2021 13:15:48 Volt2 (V):  -0.0109547
19-Sep-2021 13:15:48 Curr1 (A):  -0.1562042
19-Sep-2021 13:15:48 Curr2 (A):  -0.002237452
19-Sep-2021 13:15:48 Time (Sec):  48
19-Sep-2021 13:15:50 Power Supply OFF
19-Sep-2021 13:34:24 Power Supply Connected to GPIB
19-Sep-2021 13:34:47 OUTP ON
19-Sep-2021 13:34:55 Power Supply  ON
19-Sep-2021 13:35:00 Get IV Data
19-Sep-2021 13:35:00 Volt1 (V):  6.998635
19-Sep-2021 13:35:00 Volt2 (V):  6.986503
19-Sep-2021 13:35:00 Curr1 (A):  0.4091061
19-Sep-2021 13:35:00 Curr2 (A):  -0.002264972
19-Sep-2021 13:35:00 Time (Sec):  4
19-Sep-2021 13:35:05 Get IV Data
19-Sep-2021 13:35:05 Volt1 (V):  6.998658
19-Sep-2021 13:35:05 Volt2 (V):  6.986533
19-Sep-2021 13:35:05 Curr1 (A):  0.40985
19-Sep-2021 13:35:05 Curr2 (A):  -0.002264174
19-Sep-2021 13:35:05 Time (Sec):  9
19-Sep-2021 13:35:09 Get IV Data
19-Sep-2021 13:35:09 Volt1 (V):  6.998608
19-Sep-2021 13:35:09 Volt2 (V):  6.986423
19-Sep-2021 13:35:09 Curr1 (A):  0.410919
19-Sep-2021 13:35:09 Curr2 (A):  -0.002247822
19-Sep-2021 13:35:09 Time (Sec):  13
19-Sep-2021 13:35:14 Get IV Data
19-Sep-2021 13:35:14 Volt1 (V):  6.998745
19-Sep-2021 13:35:14 Volt2 (V):  6.98644
19-Sep-2021 13:35:14 Curr1 (A):  0.4067732
19-Sep-2021 13:35:14 Curr2 (A):  -0.002253904
19-Sep-2021 13:35:14 Time (Sec):  18
19-Sep-2021 13:35:18 Get IV Data
19-Sep-2021 13:35:18 Volt1 (V):  6.998716
19-Sep-2021 13:35:18 Volt2 (V):  6.986214
19-Sep-2021 13:35:18 Curr1 (A):  0.413489
19-Sep-2021 13:35:18 Curr2 (A):  -0.002223094
19-Sep-2021 13:35:18 Time (Sec):  22
19-Sep-2021 13:35:23 Get IV Data
19-Sep-2021 13:35:23 Volt1 (V):  6.998642
19-Sep-2021 13:35:23 Volt2 (V):  6.986302
19-Sep-2021 13:35:23 Curr1 (A):  0.4091914
19-Sep-2021 13:35:23 Curr2 (A):  -0.002225686
19-Sep-2021 13:35:23 Time (Sec):  27
19-Sep-2021 13:35:27 Get IV Data
19-Sep-2021 13:35:27 Volt1 (V):  6.998614
19-Sep-2021 13:35:27 Volt2 (V):  6.986206
19-Sep-2021 13:35:27 Curr1 (A):  0.3999586
19-Sep-2021 13:35:27 Curr2 (A):  -0.00221402
19-Sep-2021 13:35:27 Time (Sec):  31
19-Sep-2021 13:35:32 Get IV Data
19-Sep-2021 13:35:32 Volt1 (V):  6.998656
19-Sep-2021 13:35:32 Volt2 (V):  6.986242
19-Sep-2021 13:35:32 Curr1 (A):  0.4115016
19-Sep-2021 13:35:32 Curr2 (A):  -0.002223193
19-Sep-2021 13:35:32 Time (Sec):  36
19-Sep-2021 13:35:36 Get IV Data
19-Sep-2021 13:35:36 Volt1 (V):  6.998634
19-Sep-2021 13:35:36 Volt2 (V):  6.986292
19-Sep-2021 13:35:36 Curr1 (A):  0.4170136
19-Sep-2021 13:35:36 Curr2 (A):  -0.002212225
19-Sep-2021 13:35:36 Time (Sec):  40
19-Sep-2021 13:35:41 Get IV Data
19-Sep-2021 13:35:41 Volt1 (V):  6.998691
19-Sep-2021 13:35:41 Volt2 (V):  6.98632
19-Sep-2021 13:35:41 Curr1 (A):  0.4082425
19-Sep-2021 13:35:41 Curr2 (A):  -0.002224191
19-Sep-2021 13:35:41 Time (Sec):  45
19-Sep-2021 13:35:45 Get IV Data
19-Sep-2021 13:35:45 Volt1 (V):  6.998692
19-Sep-2021 13:35:45 Volt2 (V):  6.986256
19-Sep-2021 13:35:45 Curr1 (A):  0.4091142
19-Sep-2021 13:35:45 Curr2 (A):  -0.002209134
19-Sep-2021 13:35:45 Time (Sec):  49
19-Sep-2021 13:35:50 Get IV Data
19-Sep-2021 13:35:50 Volt1 (V):  6.99878
19-Sep-2021 13:35:50 Volt2 (V):  6.986282
19-Sep-2021 13:35:50 Curr1 (A):  0.4046978
19-Sep-2021 13:35:50 Curr2 (A):  -0.002247423
19-Sep-2021 13:35:50 Time (Sec):  54
19-Sep-2021 13:35:54 Get IV Data
19-Sep-2021 13:35:54 Volt1 (V):  6.998738
19-Sep-2021 13:35:54 Volt2 (V):  6.986313
19-Sep-2021 13:35:54 Curr1 (A):  0.4755325
19-Sep-2021 13:35:54 Curr2 (A):  -0.002224191
19-Sep-2021 13:35:54 Time (Sec):  58
19-Sep-2021 13:36:02 Power Supply OFF
19-Sep-2021 13:36:02 Get IV Data
19-Sep-2021 13:36:02 Volt1 (V):  6.99874
19-Sep-2021 13:36:02 Volt2 (V):  6.986269
19-Sep-2021 13:36:02 Curr1 (A):  0.4673633
19-Sep-2021 13:36:02 Curr2 (A):  -0.00220724
19-Sep-2021 13:36:02 Time (Sec):  63
19-Sep-2021 13:36:04 Power Supply OFF
19-Sep-2021 13:36:16 OUTP OFF
22-Sep-2021 21:18:03 Power Supply Connected to GPIB
22-Sep-2021 21:18:12 OUTP ON
22-Sep-2021 21:18:18 Power Supply  ON
22-Sep-2021 21:18:23 Get IV Data
22-Sep-2021 21:18:23 Volt1 (V):  6.998627
22-Sep-2021 21:18:23 Volt2 (V):  6.985388
22-Sep-2021 21:18:23 Curr1 (A):  0.4204645
22-Sep-2021 21:18:23 Curr2 (A):  -0.002368372
22-Sep-2021 21:18:23 Time (Sec):  4
22-Sep-2021 21:18:27 Get IV Data
22-Sep-2021 21:18:27 Volt1 (V):  6.998465
22-Sep-2021 21:18:27 Volt2 (V):  6.985098
22-Sep-2021 21:18:27 Curr1 (A):  0.2495674
22-Sep-2021 21:18:27 Curr2 (A):  -0.002357703
22-Sep-2021 21:18:27 Time (Sec):  9
22-Sep-2021 21:18:32 Get IV Data
22-Sep-2021 21:18:32 Volt1 (V):  6.998423
22-Sep-2021 21:18:32 Volt2 (V):  6.984957
22-Sep-2021 21:18:32 Curr1 (A):  0.421774
22-Sep-2021 21:18:32 Curr2 (A):  -0.002357803
22-Sep-2021 21:18:32 Time (Sec):  13
22-Sep-2021 21:18:36 Get IV Data
22-Sep-2021 21:18:36 Volt1 (V):  6.998296
22-Sep-2021 21:18:36 Volt2 (V):  6.985009
22-Sep-2021 21:18:36 Curr1 (A):  0.4206908
22-Sep-2021 21:18:36 Curr2 (A):  -0.002343644
22-Sep-2021 21:18:36 Time (Sec):  18
22-Sep-2021 21:18:41 Get IV Data
22-Sep-2021 21:18:41 Volt1 (V):  6.99846
22-Sep-2021 21:18:41 Volt2 (V):  6.984855
22-Sep-2021 21:18:41 Curr1 (A):  0.2498206
22-Sep-2021 21:18:41 Curr2 (A):  -0.002347931
22-Sep-2021 21:18:41 Time (Sec):  22
22-Sep-2021 21:18:45 Get IV Data
22-Sep-2021 21:18:45 Volt1 (V):  6.998356
22-Sep-2021 21:18:45 Volt2 (V):  6.98495
22-Sep-2021 21:18:45 Curr1 (A):  0.4298375
22-Sep-2021 21:18:45 Curr2 (A):  -0.002356108
22-Sep-2021 21:18:45 Time (Sec):  27
22-Sep-2021 21:18:50 Get IV Data
22-Sep-2021 21:18:50 Volt1 (V):  6.998409
22-Sep-2021 21:18:50 Volt2 (V):  6.984966
22-Sep-2021 21:18:50 Curr1 (A):  0.4276169
22-Sep-2021 21:18:50 Curr2 (A):  -0.002339057
22-Sep-2021 21:18:50 Time (Sec):  31
22-Sep-2021 21:18:55 Get IV Data
22-Sep-2021 21:18:55 Volt1 (V):  6.998407
22-Sep-2021 21:18:55 Volt2 (V):  6.984827
22-Sep-2021 21:18:55 Curr1 (A):  0.4246111
22-Sep-2021 21:18:55 Curr2 (A):  -0.002350324
22-Sep-2021 21:18:55 Time (Sec):  36
22-Sep-2021 21:18:59 Get IV Data
22-Sep-2021 21:18:59 Volt1 (V):  6.998555
22-Sep-2021 21:18:59 Volt2 (V):  6.984959
22-Sep-2021 21:18:59 Curr1 (A):  0.4214934
22-Sep-2021 21:18:59 Curr2 (A):  -0.002371164
22-Sep-2021 21:18:59 Time (Sec):  41
22-Sep-2021 21:19:04 Get IV Data
22-Sep-2021 21:19:04 Volt1 (V):  6.998571
22-Sep-2021 21:19:04 Volt2 (V):  6.984885
22-Sep-2021 21:19:04 Curr1 (A):  0.2501658
22-Sep-2021 21:19:04 Curr2 (A):  -0.00234833
22-Sep-2021 21:19:04 Time (Sec):  45
22-Sep-2021 21:19:08 Get IV Data
22-Sep-2021 21:19:08 Volt1 (V):  6.998417
22-Sep-2021 21:19:08 Volt2 (V):  6.984839
22-Sep-2021 21:19:08 Curr1 (A):  0.4272687
22-Sep-2021 21:19:08 Curr2 (A):  -0.002347732
22-Sep-2021 21:19:08 Time (Sec):  50
22-Sep-2021 21:19:13 Get IV Data
22-Sep-2021 21:19:13 Volt1 (V):  6.99844
22-Sep-2021 21:19:13 Volt2 (V):  6.984715
22-Sep-2021 21:19:13 Curr1 (A):  0.2500192
22-Sep-2021 21:19:13 Curr2 (A):  -0.002342647
22-Sep-2021 21:19:13 Time (Sec):  54
22-Sep-2021 21:19:17 Get IV Data
22-Sep-2021 21:19:17 Volt1 (V):  6.998545
22-Sep-2021 21:19:17 Volt2 (V):  6.984808
22-Sep-2021 21:19:17 Curr1 (A):  0.4243347
22-Sep-2021 21:19:17 Curr2 (A):  -0.002383229
22-Sep-2021 21:19:17 Time (Sec):  59
22-Sep-2021 21:19:22 Get IV Data
22-Sep-2021 21:19:22 Volt1 (V):  6.99838
22-Sep-2021 21:19:22 Volt2 (V):  6.984791
22-Sep-2021 21:19:22 Curr1 (A):  0.2500979
22-Sep-2021 21:19:22 Curr2 (A):  -0.002382332
22-Sep-2021 21:19:22 Time (Sec):  64
22-Sep-2021 21:19:27 Get IV Data
22-Sep-2021 21:19:27 Volt1 (V):  6.998412
22-Sep-2021 21:19:27 Volt2 (V):  6.984817
22-Sep-2021 21:19:27 Curr1 (A):  0.4303416
22-Sep-2021 21:19:27 Curr2 (A):  -0.002335767
22-Sep-2021 21:19:27 Time (Sec):  68
22-Sep-2021 21:19:31 Get IV Data
22-Sep-2021 21:19:31 Volt1 (V):  6.998528
22-Sep-2021 21:19:31 Volt2 (V):  6.984814
22-Sep-2021 21:19:31 Curr1 (A):  0.4314944
22-Sep-2021 21:19:31 Curr2 (A):  -0.002332277
22-Sep-2021 21:19:31 Time (Sec):  73
22-Sep-2021 21:19:36 Get IV Data
22-Sep-2021 21:19:36 Volt1 (V):  6.99853
22-Sep-2021 21:19:36 Volt2 (V):  6.984905
22-Sep-2021 21:19:36 Curr1 (A):  0.4202341
22-Sep-2021 21:19:36 Curr2 (A):  -0.002375053
22-Sep-2021 21:19:36 Time (Sec):  77
22-Sep-2021 21:19:40 Get IV Data
22-Sep-2021 21:19:40 Volt1 (V):  6.998442
22-Sep-2021 21:19:40 Volt2 (V):  6.984931
22-Sep-2021 21:19:40 Curr1 (A):  0.4261669
22-Sep-2021 21:19:40 Curr2 (A):  -0.002341749
