03-Aug-2021 20:27:21 OUTP ON
03-Aug-2021 20:27:21 Get IV Data
03-Aug-2021 20:27:21 Volt1 (V):  1.26071
03-Aug-2021 20:27:21 Volt2 (V):  -0.009327875
03-Aug-2021 20:27:21 Curr1 (A):  -0.1563387
03-Aug-2021 20:27:21 Curr2 (A):  -0.002414737
03-Aug-2021 20:27:21 Time (Sec):  37
03-Aug-2021 20:27:25 Get IV Data
03-Aug-2021 20:27:25 Volt1 (V):  6.99915
03-Aug-2021 20:27:25 Volt2 (V):  6.989026
03-Aug-2021 20:27:25 Curr1 (A):  0.4641097
03-Aug-2021 20:27:25 Curr2 (A):  0.1014278
03-Aug-2021 20:27:25 Time (Sec):  46
03-Aug-2021 20:27:32 Get IV Data
03-Aug-2021 20:27:32 Volt1 (V):  6.999137
03-Aug-2021 20:27:32 Volt2 (V):  6.988985
03-Aug-2021 20:27:32 Curr1 (A):  0.4710949
03-Aug-2021 20:27:32 Curr2 (A):  0.1017449
03-Aug-2021 20:27:32 Time (Sec):  53
03-Aug-2021 20:27:39 Get IV Data
03-Aug-2021 20:27:39 Volt1 (V):  6.999254
03-Aug-2021 20:27:39 Volt2 (V):  6.98891
03-Aug-2021 20:27:39 Curr1 (A):  0.4671614
03-Aug-2021 20:27:39 Curr2 (A):  0.1001071
03-Aug-2021 20:27:39 Time (Sec):  60
03-Aug-2021 20:27:46 Get IV Data
03-Aug-2021 20:27:46 Volt1 (V):  6.999198
03-Aug-2021 20:27:46 Volt2 (V):  6.988793
03-Aug-2021 20:27:46 Curr1 (A):  0.4718175
03-Aug-2021 20:27:46 Curr2 (A):  0.1020973
03-Aug-2021 20:27:46 Time (Sec):  67
03-Aug-2021 20:27:53 Get IV Data
03-Aug-2021 20:27:53 Volt1 (V):  6.999296
03-Aug-2021 20:27:53 Volt2 (V):  6.988796
03-Aug-2021 20:27:53 Curr1 (A):  0.4811496
03-Aug-2021 20:27:53 Curr2 (A):  0.1061815
03-Aug-2021 20:27:53 Time (Sec):  74
03-Aug-2021 20:28:03 Get IV Data
03-Aug-2021 20:28:03 Volt1 (V):  6.999383
03-Aug-2021 20:28:03 Volt2 (V):  6.988766
03-Aug-2021 20:28:03 Curr1 (A):  0.4602538
03-Aug-2021 20:28:03 Curr2 (A):  0.1038866
03-Aug-2021 20:28:03 Time (Sec):  81
03-Aug-2021 20:28:07 Get IV Data
03-Aug-2021 20:28:07 Volt1 (V):  6.999225
03-Aug-2021 20:28:07 Volt2 (V):  6.988682
03-Aug-2021 20:28:07 Curr1 (A):  0.4482
03-Aug-2021 20:28:07 Curr2 (A):  0.1012887
03-Aug-2021 20:28:07 Time (Sec):  88
03-Aug-2021 20:28:14 Get IV Data
03-Aug-2021 20:28:14 Volt1 (V):  6.999301
03-Aug-2021 20:28:14 Volt2 (V):  6.988675
03-Aug-2021 20:28:14 Curr1 (A):  0.4745412
03-Aug-2021 20:28:14 Curr2 (A):  0.1014432
03-Aug-2021 20:28:14 Time (Sec):  96
03-Aug-2021 20:28:22 Get IV Data
03-Aug-2021 20:28:22 Volt1 (V):  6.999218
03-Aug-2021 20:28:22 Volt2 (V):  6.988647
03-Aug-2021 20:28:22 Curr1 (A):  0.4870141
03-Aug-2021 20:28:22 Curr2 (A):  0.1011416
03-Aug-2021 20:28:22 Time (Sec):  103
03-Aug-2021 20:28:29 Get IV Data
03-Aug-2021 20:28:29 Volt1 (V):  6.999126
03-Aug-2021 20:28:29 Volt2 (V):  6.988564
03-Aug-2021 20:28:29 Curr1 (A):  0.4628392
03-Aug-2021 20:28:29 Curr2 (A):  0.1005518
03-Aug-2021 20:28:29 Time (Sec):  110
03-Aug-2021 20:28:41 Get IV Data
03-Aug-2021 20:28:41 Volt1 (V):  6.999139
03-Aug-2021 20:28:41 Volt2 (V):  6.988632
03-Aug-2021 20:28:41 Curr1 (A):  0.4627762
03-Aug-2021 20:28:41 Curr2 (A):  0.1007091
03-Aug-2021 20:28:41 Time (Sec):  117
03-Aug-2021 20:28:45 Get IV Data
03-Aug-2021 20:28:45 Volt1 (V):  6.999297
03-Aug-2021 20:28:45 Volt2 (V):  6.988593
03-Aug-2021 20:28:45 Curr1 (A):  0.4749759
03-Aug-2021 20:28:45 Curr2 (A):  0.1029444
03-Aug-2021 20:28:45 Time (Sec):  126
03-Aug-2021 20:28:52 Get IV Data
03-Aug-2021 20:28:52 Volt1 (V):  6.999025
03-Aug-2021 20:28:52 Volt2 (V):  6.988676
03-Aug-2021 20:28:52 Curr1 (A):  0.4711099
03-Aug-2021 20:28:52 Curr2 (A):  0.09961355
03-Aug-2021 20:28:52 Time (Sec):  133
03-Aug-2021 20:28:59 Get IV Data
03-Aug-2021 20:28:59 Volt1 (V):  6.999208
03-Aug-2021 20:28:59 Volt2 (V):  6.988716
03-Aug-2021 20:28:59 Curr1 (A):  0.4458058
03-Aug-2021 20:28:59 Curr2 (A):  0.102216
03-Aug-2021 20:28:59 Time (Sec):  140
03-Aug-2021 20:29:06 Get IV Data
03-Aug-2021 20:29:06 Volt1 (V):  6.999118
03-Aug-2021 20:29:06 Volt2 (V):  6.988642
03-Aug-2021 20:29:06 Curr1 (A):  0.4549652
03-Aug-2021 20:29:06 Curr2 (A):  0.1107243
03-Aug-2021 20:29:06 Time (Sec):  147
03-Aug-2021 20:29:13 Get IV Data
03-Aug-2021 20:29:13 Volt1 (V):  6.999118
03-Aug-2021 20:29:13 Volt2 (V):  6.988544
03-Aug-2021 20:29:13 Curr1 (A):  0.467986
03-Aug-2021 20:29:13 Curr2 (A):  0.1111232
03-Aug-2021 20:29:13 Time (Sec):  154
03-Aug-2021 20:29:20 Get IV Data
03-Aug-2021 20:29:20 Volt1 (V):  6.999092
03-Aug-2021 20:29:20 Volt2 (V):  6.988517
03-Aug-2021 20:29:20 Curr1 (A):  0.4464346
03-Aug-2021 20:29:20 Curr2 (A):  0.1089026
03-Aug-2021 20:29:20 Time (Sec):  161
03-Aug-2021 20:29:27 Get IV Data
03-Aug-2021 20:29:27 Volt1 (V):  6.999063
03-Aug-2021 20:29:27 Volt2 (V):  6.98862
03-Aug-2021 20:29:27 Curr1 (A):  0.4702097
03-Aug-2021 20:29:27 Curr2 (A):  0.1081577
03-Aug-2021 20:29:27 Time (Sec):  168
03-Aug-2021 20:29:34 Get IV Data
03-Aug-2021 20:29:34 Volt1 (V):  6.999097
03-Aug-2021 20:29:34 Volt2 (V):  6.988658
03-Aug-2021 20:29:34 Curr1 (A):  0.4707613
03-Aug-2021 20:29:34 Curr2 (A):  0.1087763
03-Aug-2021 20:29:34 Time (Sec):  175
03-Aug-2021 20:29:41 Get IV Data
03-Aug-2021 20:29:41 Volt1 (V):  6.999234
03-Aug-2021 20:29:41 Volt2 (V):  6.988633
03-Aug-2021 20:29:41 Curr1 (A):  0.4669668
03-Aug-2021 20:29:41 Curr2 (A):  0.1093692
03-Aug-2021 20:29:41 Time (Sec):  182
03-Aug-2021 20:29:48 Get IV Data
03-Aug-2021 20:29:48 Volt1 (V):  6.999136
03-Aug-2021 20:29:48 Volt2 (V):  6.988539
03-Aug-2021 20:29:48 Curr1 (A):  0.4643614
03-Aug-2021 20:29:48 Curr2 (A):  0.109271
03-Aug-2021 20:29:48 Time (Sec):  189
03-Aug-2021 20:29:55 Get IV Data
