Stock	Date	Original Price	ARIMA Prediction	GARCH Prediction	Final Prediction
MSFT	2020-08-18	211.49000549316406	116.00387647657443	216.9987532996877	195.28857847396807
MSFT	2020-08-19	209.6999969482422	115.71080979098922	208.90838787009736	187.53266002472873
MSFT	2020-08-20	214.5800018310547	113.14013912373869	202.58777246163913	177.8185403133932
MSFT	2020-08-21	213.02000427246094	109.91475920944117	202.93396295246419	173.0445207875692
MSFT	2020-08-24	213.69000244140625	112.912519872405	201.80865393503882	176.77831440521763
MSFT	2020-08-25	216.47000122070312	110.87758017675489	202.60180478658825	174.27462310215705
MSFT	2020-08-26	221.14999389648438	107.95743640732677	203.5496123418892	170.47862971803315
MSFT	2020-08-27	226.5800018310547	107.25438981973332	198.72617337091043	165.35496877699106
MSFT	2020-08-28	228.91000366210938	108.65209895206415	206.0059089926654	173.64604707860624
MSFT	2020-08-31	225.52999877929688	107.11324193918014	209.10532162948618	173.76221851846103
MSFT	2020-09-01	227.27000427246094	106.08043291599766	213.43980460243193	175.65390182962173
MSFT	2020-09-02	231.64999389648438	109.40002421363813	212.822109964731	180.6264164918174
MSFT	2020-09-03	217.3000030517578	107.47638573145277	218.122307398997	181.86965365937448
MSFT	2020-09-04	214.25	109.29851638890054	218.5824230844903	185.34317830155717
MSFT	2020-09-08	202.66000366210938	107.30342304023152	224.8984073507181	187.21776639034107
MSFT	2020-09-09	211.2899932861328	107.2206340629287	226.05085270719064	188.03193875396852
MSFT	2020-09-10	205.3699951171875	105.13113602222371	225.05431195487387	183.5548223649769
MSFT	2020-09-11	204.02999877929688	103.20858479638912	226.20258543005025	181.11753161344808
MSFT	2020-09-14	205.41000366210938	103.54543505519544	225.0264205293867	180.76384574029208
MSFT	2020-09-15	208.77999877929688	105.33411217665515	219.63927767795175	179.4841691917245
MSFT	2020-09-16	205.0500030517578	106.26027760371495	218.83897241174	180.40256834812325
MSFT	2020-09-17	202.91000366210938	106.43624438276345	219.7618061033024	181.4633235684467
MSFT	2020-09-18	200.38999938964844	109.15124013501196	227.99649609394996	193.06517822706255
MSFT	2020-09-21	202.5399932861328	108.88223503965928	227.68286428132575	192.3244400080478
MSFT	2020-09-22	207.4199981689453	108.47579864105099	226.39081098582045	190.51920240123354
MSFT	2020-09-23	200.58999633789062	108.32250551293143	226.8804615295692	190.66145235468053
MSFT	2020-09-24	203.19000244140625	107.83834408106449	229.74708442554586	192.2074966256387
MSFT	2020-09-25	207.82000732421875	110.61608079564948	228.68530371280374	196.24727098581386
MSFT	2020-09-28	209.44000244140625	108.66193537673384	232.54751522526735	196.03618516631443
MSFT	2020-09-29	207.25999450683594	113.35965947337573	232.99284679099523	204.90295595491074
MSFT	2020-09-30	210.3300018310547	111.59790073997232	227.4673960587327	196.93471752472092
MSFT	2020-10-01	212.4600067138672	111.82646258093533	230.76307788985895	200.19720649044635
MSFT	2020-10-02	206.19000244140625	111.16354586421322	231.47702074941483	199.6261259193962
MSFT	2020-10-05	210.3800048828125	108.77917251893814	227.68914679460758	192.14769707243522
MSFT	2020-10-06	205.91000366210938	104.24109687966171	234.8116271451545	189.89156503270107
MSFT	2020-10-07	209.8300018310547	102.04445854528186	231.95323776525763	183.62718135261514
MSFT	2020-10-08	210.5800018310547	103.11938754603204	236.2368678012602	188.98838073663617
MSFT	2020-10-09	215.80999755859375	106.31398911367275	238.3195552946678	196.56092945605374
MSFT	2020-10-12	221.39999389648438	109.72984908244092	234.3548610337372	199.50135570696682
MSFT	2020-10-13	222.86000061035156	106.85944920621357	250.1921186614637	207.41189497161648
MSFT	2020-10-14	220.86000061035156	107.51263801888427	257.8223745209317	215.04394831312817
MSFT	2020-10-15	219.66000366210938	107.35895856374742	260.27472692742236	216.77909190462657
MSFT	2020-10-16	219.66000366210938	107.12177186568385	257.84037193710805	214.27710479638165
MSFT	2020-10-19	214.22000122070312	108.3640981638852	261.169182115381	219.5606224067062
MSFT	2020-10-20	214.64999389648438	109.91942626812086	266.64417863532026	227.38073329053972
MSFT	2020-10-21	214.8000030517578	109.01198079646932	265.2742054754092	224.34498031324313
MSFT	2020-10-22	214.88999938964844	109.5929225626904	280.16525248508157	238.20116582016038
MSFT	2020-10-23	216.22999572753906	109.48990656568485	287.3686019768067	244.09591055232917
MSFT	2020-10-26	210.0800018310547	107.61998571679942	299.8326823723987	250.33351840389236
MSFT	2020-10-27	213.25	107.61431219146009	306.57368032807756	255.94815598676627
MSFT	2020-10-28	202.67999267578125	109.40625917848388	308.92937776525315	262.2095358575099
MSFT	2020-10-29	204.72000122070312	110.31019566260763	311.97115968166156	266.9790635770796
MSFT	2020-10-30	202.47000122070312	112.01302691849942	305.52727298928545	265.5006693108768
MSFT	2020-11-02	202.3300018310547	111.9903494139103	288.82416658177186	250.93499508347327
MSFT	2020-11-03	206.42999267578125	113.3875678876408	287.6827361109464	253.06165489098473
MSFT	2020-11-04	216.38999938964844	114.69991063472173	274.5113818439462	244.27022852305458
MSFT	2020-11-05	223.2899932861328	115.0918509423677	277.65256560000597	247.9096137076962
MSFT	2020-11-06	223.72000122070312	115.50450575086955	275.83706029367994	247.1716433328958
MSFT	2020-11-09	218.38999938964844	115.11402130310192	276.73615356654204	247.13896807923925
MSFT	2020-11-10	211.00999450683594	117.56092651452994	268.91841894346226	245.26221865614974
MSFT	2020-11-11	216.5500030517578	118.189519668859	259.94933239858045	238.3497920031066
MSFT	2020-11-12	215.44000244140625	116.641390063055	256.96115504115346	232.5237217643171
MSFT	2020-11-13	216.50999450683594	116.32172246828732	250.02726317692827	225.62919545309057
MSFT	2020-11-16	217.22999572753906	116.70625555348298	251.9304208667151	228.0981960556109
MSFT	2020-11-17	214.4600067138672	114.45925976296166	257.01860027428637	228.22467126206493
MSFT	2020-11-18	211.0800018310547	114.8074328324093	256.28784467596785	228.26804427181284
MSFT	2020-11-19	212.4199981689453	115.80887703026877	256.2993599052923	230.26953033097163
MSFT	2020-11-20	210.38999938964844	114.3624775481072	255.70391803642065	226.86528293311846
MSFT	2020-11-23	210.11000061035156	114.16194303750683	258.6701290526718	229.09453791076584
MSFT	2020-11-24	213.86000061035156	116.1431491960117	243.8137468462018	219.68423364502067
MSFT	2020-11-25	213.8699951171875	115.74591888949476	245.31601777761233	220.28184050019397
MSFT	2020-11-27	215.22999572753906	113.03903652492244	235.1747340450106	206.23682397379773
