03-Aug-2021 18:53:04 Volt2 (V):  6.988431
03-Aug-2021 18:53:04 Curr1 (A):  0.4736023
03-Aug-2021 18:53:04 Curr2 (A):  0.1019812
03-Aug-2021 18:53:04 Time (Sec):  18
03-Aug-2021 18:53:09 Get IV Data
03-Aug-2021 18:53:09 Volt1 (V):  6.999326
03-Aug-2021 18:53:09 Volt2 (V):  6.988387
03-Aug-2021 18:53:09 Curr1 (A):  0.477506
03-Aug-2021 18:53:09 Curr2 (A):  0.1012239
03-Aug-2021 18:53:09 Time (Sec):  22
03-Aug-2021 18:53:13 Get IV Data
03-Aug-2021 18:53:13 Volt1 (V):  6.999286
03-Aug-2021 18:53:13 Volt2 (V):  6.98838
03-Aug-2021 18:53:13 Curr1 (A):  0.4744624
03-Aug-2021 18:53:13 Curr2 (A):  0.101185
03-Aug-2021 18:53:13 Time (Sec):  27
03-Aug-2021 18:53:18 Get IV Data
03-Aug-2021 18:53:18 Volt1 (V):  6.999313
03-Aug-2021 18:53:18 Volt2 (V):  6.988303
03-Aug-2021 18:53:18 Curr1 (A):  0.478787
03-Aug-2021 18:53:18 Curr2 (A):  0.1010884
03-Aug-2021 18:53:18 Time (Sec):  31
03-Aug-2021 18:53:22 Get IV Data
03-Aug-2021 18:53:22 Volt1 (V):  6.999281
03-Aug-2021 18:53:22 Volt2 (V):  6.988321
03-Aug-2021 18:53:22 Curr1 (A):  0.474779
03-Aug-2021 18:53:22 Curr2 (A):  0.1027739
03-Aug-2021 18:53:22 Time (Sec):  36
03-Aug-2021 18:53:27 Get IV Data
03-Aug-2021 18:53:27 Volt1 (V):  6.999313
03-Aug-2021 18:53:27 Volt2 (V):  6.988378
03-Aug-2021 18:53:27 Curr1 (A):  0.4739215
03-Aug-2021 18:53:27 Curr2 (A):  0.09840207
03-Aug-2021 18:53:27 Time (Sec):  40
03-Aug-2021 18:53:31 Get IV Data
03-Aug-2021 18:53:31 Volt1 (V):  6.999306
03-Aug-2021 18:53:31 Volt2 (V):  6.988424
03-Aug-2021 18:53:31 Curr1 (A):  0.4594728
03-Aug-2021 18:53:31 Curr2 (A):  0.1024903
03-Aug-2021 18:53:31 Time (Sec):  45
03-Aug-2021 18:53:39 OUTP OFF
03-Aug-2021 18:53:39 Get IV Data
03-Aug-2021 18:53:39 Volt1 (V):  6.999227
03-Aug-2021 18:53:39 Volt2 (V):  6.988345
03-Aug-2021 18:53:39 Curr1 (A):  0.4765598
03-Aug-2021 18:53:39 Curr2 (A):  0.1018067
03-Aug-2021 18:53:39 Time (Sec):  49
03-Aug-2021 18:53:41 Get IV Data
03-Aug-2021 18:53:41 Volt1 (V):  1.263741
03-Aug-2021 18:53:41 Volt2 (V):  -0.009089094
03-Aug-2021 18:53:41 Curr1 (A):  -0.1559015
03-Aug-2021 18:53:41 Curr2 (A):  -0.002306153
03-Aug-2021 18:53:41 Time (Sec):  54
03-Aug-2021 18:53:45 Get IV Data
03-Aug-2021 18:53:45 Volt1 (V):  1.264134
03-Aug-2021 18:53:45 Volt2 (V):  -0.009335034
03-Aug-2021 18:53:45 Curr1 (A):  -0.1559851
03-Aug-2021 18:53:45 Curr2 (A):  -0.002312036
03-Aug-2021 18:53:45 Time (Sec):  59
03-Aug-2021 18:53:52 Power Supply OFF
03-Aug-2021 18:53:52 Get IV Data
03-Aug-2021 18:53:52 Volt1 (V):  1.272903
03-Aug-2021 18:53:52 Volt2 (V):  -0.009447475
03-Aug-2021 18:53:52 Curr1 (A):  -0.156041
03-Aug-2021 18:53:52 Curr2 (A):  -0.002322405
03-Aug-2021 18:53:52 Time (Sec):  63
03-Aug-2021 18:53:55 Power Supply OFF
03-Aug-2021 19:36:39 Power Supply Connected to GPIB
03-Aug-2021 19:36:51 OUTP ON
03-Aug-2021 19:36:54 Power Supply  ON
03-Aug-2021 19:38:43 Power Supply Connected to GPIB
03-Aug-2021 19:38:52 OUTP ON
03-Aug-2021 19:38:53 Power Supply  ON
03-Aug-2021 19:38:58 Get IV Data
03-Aug-2021 19:38:58 Volt1 (V):  6.996942
03-Aug-2021 19:38:58 Volt2 (V):  7.032558
03-Aug-2021 19:38:58 Curr1 (A):  0.4265344
03-Aug-2021 19:38:58 Curr2 (A):  0.1020832
03-Aug-2021 19:38:58 Time (Sec):  4
03-Aug-2021 19:39:02 Get IV Data
03-Aug-2021 19:39:02 Volt1 (V):  6.996983
03-Aug-2021 19:39:02 Volt2 (V):  7.032547
03-Aug-2021 19:39:02 Curr1 (A):  0.4706497
