04-Aug-2021 11:41:00 Volt1 (V):  6.99732
04-Aug-2021 11:41:00 Volt2 (V):  7.033194
04-Aug-2021 11:41:00 Curr1 (A):  0.4616287
04-Aug-2021 11:41:00 Curr2 (A):  0.1021327
04-Aug-2021 11:41:00 Time (Sec):  289
04-Aug-2021 11:41:07 Get IV Data
04-Aug-2021 11:41:07 Volt1 (V):  6.997051
04-Aug-2021 11:41:07 Volt2 (V):  7.033126
04-Aug-2021 11:41:07 Curr1 (A):  0.473747
04-Aug-2021 11:41:07 Curr2 (A):  0.1019513
04-Aug-2021 11:41:07 Time (Sec):  296
04-Aug-2021 11:41:14 Get IV Data
04-Aug-2021 11:41:14 Volt1 (V):  6.997076
04-Aug-2021 11:41:14 Volt2 (V):  7.033237
04-Aug-2021 11:41:14 Curr1 (A):  0.4685429
04-Aug-2021 11:41:14 Curr2 (A):  0.1048752
04-Aug-2021 11:41:14 Time (Sec):  303
04-Aug-2021 11:41:21 Get IV Data
04-Aug-2021 11:41:21 Volt1 (V):  6.997218
04-Aug-2021 11:41:21 Volt2 (V):  7.033213
04-Aug-2021 11:41:21 Curr1 (A):  0.4593551
04-Aug-2021 11:41:21 Curr2 (A):  0.1022731
04-Aug-2021 11:41:21 Time (Sec):  310
04-Aug-2021 11:41:28 Get IV Data
04-Aug-2021 11:41:28 Volt1 (V):  6.997175
04-Aug-2021 11:41:28 Volt2 (V):  7.033082
04-Aug-2021 11:41:28 Curr1 (A):  0.477673
04-Aug-2021 11:41:28 Curr2 (A):  0.1045785
04-Aug-2021 11:41:28 Time (Sec):  317
04-Aug-2021 11:41:36 Get IV Data
04-Aug-2021 11:41:36 Volt1 (V):  6.997097
04-Aug-2021 11:41:36 Volt2 (V):  7.03334
04-Aug-2021 11:41:36 Curr1 (A):  0.4735621
04-Aug-2021 11:41:36 Curr2 (A):  0.1009567
04-Aug-2021 11:41:36 Time (Sec):  324
04-Aug-2021 11:41:43 Get IV Data
04-Aug-2021 11:41:43 Volt1 (V):  6.996984
04-Aug-2021 11:41:43 Volt2 (V):  7.033243
04-Aug-2021 11:41:43 Curr1 (A):  0.4871161
04-Aug-2021 11:41:43 Curr2 (A):  0.1045555
04-Aug-2021 11:41:43 Time (Sec):  331
04-Aug-2021 11:41:50 Get IV Data
04-Aug-2021 11:41:50 Volt1 (V):  6.997062
04-Aug-2021 11:41:50 Volt2 (V):  7.033092
04-Aug-2021 11:41:50 Curr1 (A):  0.4783009
04-Aug-2021 11:41:50 Curr2 (A):  0.1042066
04-Aug-2021 11:41:50 Time (Sec):  338
04-Aug-2021 11:41:57 Get IV Data
04-Aug-2021 11:41:57 Volt1 (V):  6.997261
04-Aug-2021 11:41:57 Volt2 (V):  7.033258
04-Aug-2021 11:41:57 Curr1 (A):  0.4775834
04-Aug-2021 11:41:57 Curr2 (A):  0.1020243
